WellID,BVHH,FormationAlias,NioGOR,CodGOR,LateralLength,ProppantPerFoot,FluidPerFoot,LeftDistance,LeftNeighbourType,RightDistance,RightNeighbourType,TVD,NormalizedOilEUR,NormalizedGasEUR
0512335202,1.690898421,NIOBRARA,4545.08808,4699.192792,4062,,,729,Codeveloped,694,Codeveloped,7332,23.71614968,128.111029
0512335203,1.764699479,NIOBRARA,4464.869429,4674.059429,4082,465.4581088,750.989221,783,Codeveloped,729,Codeveloped,7258,20.80720235,114.8493386
0512335207,0.907646354,NIOBRARA,30427.15325,,4219,,,2181,Parent,,NoNeighbour,6084,20.58236549,43.23631192
0512335214,0.857503093,NIOBRARA,2292.542737,2120.147032,4088,964.2857143,724.4794521,,NoNeighbour,,NoNeighbour,6880,12.66169276,26.21257339
0512335220,0.67708718,NIOBRARA,2507.375193,,4404,,,,NoNeighbour,3763,Codeveloped,6079,16.71548592,52.33060854
0512335228,1.246609375,NIOBRARA,6201.735853,4043.362114,4518,1028.33112,717.0509075,940,Codeveloped,,NoNeighbour,7145,18.79946879,185.9247455
0512335233,1.413337895,NIOBRARA,13758.81627,16794.12036,4008,884.2315369,627.9146707,,NoNeighbour,,NoNeighbour,7109,12.06836327,237.5304391
0512335235,0.59367579,NIOBRARA,1242.258104,,3786,929.7411516,698.3425779,,NoNeighbour,,NoNeighbour,6916,14.17485473,14.27760169
0512335239,0.463373057,NIOBRARA,3605.573125,2293.383513,3909,713.225889,617.1711435,,NoNeighbour,2629,Codeveloped,6733,3.492964953,16.23995907
0512335246,0.50857513,NIOBRARA,3809.047151,,9064,868.9320388,638.3870256,,NoNeighbour,,NoNeighbour,6553,3.534642542,14.24657988
0512335248,1.009982292,NIOBRARA,3081.026654,2395.619701,3909,,,,NoNeighbour,,NoNeighbour,6829,12.75825019,31.70452801
0512335250,0.754069271,NIOBRARA,2135.491842,2224.784276,3787,,,,NoNeighbour,,NoNeighbour,6643,14.57644574,46.99788751
0512335251,0.663909524,CODELL,4417.267658,5990.696661,6645,685.3273138,704.8698269,4027,Codeveloped,,NoNeighbour,7325,18.21685478,131.2696764
0512335252,0.998914063,CODELL,3421.031433,3483.153245,4078,882.7856793,481.9391859,1880,Codeveloped,,NoNeighbour,7384,21.29082884,85.54389407
0512335255,1.407968912,NIOBRARA,4449.451533,5951.274419,6273,0,0.172325841,602,Codeveloped,666,Codeveloped,7223,18.29842181,111.2206281
0512335256,1.452306154,NIOBRARA,4404.492853,5938.572653,6594,786.4725508,761.2547771,666,Codeveloped,609,Codeveloped,7125,18.08674553,106.770549
0512335258,1.389446354,NIOBRARA,4389.494178,5814.859667,6644,,,1338,Codeveloped,602,Codeveloped,7160,17.52152318,91.34948826
0512335260,1.169914721,NIOBRARA,18604.42691,4983.58953,4266,492.7332396,321.1237693,602,Codeveloped,798,Codeveloped,6391,5.664791374,45.54125645
0512335261,1.149373096,NIOBRARA,12894.69624,5091.970859,4816,465.1162791,296.3633721,798,Codeveloped,629,Codeveloped,6474,7.03986711,45.60340532
0512335263,1.212758247,NIOBRARA,24592.35041,4863.907668,5039,,,,NoNeighbour,602,Codeveloped,6453,8.73784481,43.71164914
0512335266,1.57746875,NIOBRARA,7177.358856,6440.535755,7088,672.1467269,568.3527088,,NoNeighbour,652,Codeveloped,7153,19.62824492,218.3051637
0512335273,1.442477604,NIOBRARA,6164.70472,6319.394413,4268,899.2502343,666.1841612,,NoNeighbour,,NoNeighbour,6500,18.67713215,176.6267573
0512335275,1.3101625,NIOBRARA,2430.940259,1867.574743,4097,,,,NoNeighbour,,NoNeighbour,7276,15.38052233,40.56480351
0512335276,0.625079688,NIOBRARA,2446.747758,,4374,857.3388203,501.5873342,3763,Codeveloped,,NoNeighbour,6085,16.9352995,43.95290352
0512335277,0.528517347,NIOBRARA,2085.819076,,3941,792.1847247,546.4369449,,NoNeighbour,,NoNeighbour,6761,6.89774169,14.26947475
0512335278,1.266388542,NIOBRARA,2445.47333,1927.425336,4127,861.1582263,590.6663436,1129,Parent,5255,Parent,7272,10.85073904,32.81027381
0512335283,1.519777202,NIOBRARA,5011.942962,3745.419973,4521,629.0643663,1061.222296,766,Codeveloped,606,Codeveloped,6979,14.73081177,121.4596328
0512335284,1.500914063,NIOBRARA,4929.39318,3757.925738,4167,559.1552676,938.6349892,,NoNeighbour,766,Codeveloped,6967,18.11807055,108.7461003
